,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
PBT1-C-2Cl,7,15,9,15,9,6,14,31,1,1,,,,,,,,,,
PDBT-Cl,2,14,1,1,0,91,6,1,6,1,,,,,,,,,,
PCl(4)BDB-T,7,0,1,0,1,6,14,31,1,1,,,,,,,,,,
J11,7,55,8,55,8,0,13,5,2,,,,,,,,,,,
PBDTS-Se-TAZ,13,0,68,12,2,,,,,,,,,,,,,,,
PTBB-m,2,14,9,9,0,3,15,11,15,11,,,,,,,,,,
PBDB-BzT,7,60,46,60,46,0,14,2,1,1,,,,,,,,,,
PBTIBDTT,85,5,2,44,0,3,0,1,0,1,44,,,,,,,,,
PBDS-TZ,2,1,61,0,3,19,19,1,,,,,,,,,,,,
PBB-H,2,35,0,5,0,3,0,5,0,5,0,5,,,,,,,,
PB3T,2,0,0,17,3,0,51,0,51,17,,,,,,,,,,
PBTA-PS,13,2,5,0,3,15,23,15,23,,,,,,,,,,,
PBDT-3TCO,7,4,1,0,0,0,40,40,4,1,,,,,,,,,,
PBDT-TDZ,2,12,62,0,3,0,9,0,9,12,,,,,,,,,,
J47,7,52,52,0,13,5,2,,,,,,,,,,,,,
